start	end	text
280	1360	Taking off now?
1540	3500	No, I'm just going to use the bathroom, but you can keep going.
3960	4100	Yeah.
4220	4420	Okay.
5040	5300	Okay.
7740	13920	Epinodia postiliana, postiliana, sisquioansis.
14380	15260	That's a mouthful.
15840	16060	Yeah.
16960	25200	The reason why I kept the subspecific name here is the, there was a, he's now a professor
25200	34560	at Mississippi State who did, as his PhD project, a revision of North American species of Epinodia
34560	37740	that, as far as I know, was never published.
38740	44480	And he believed that sisquioansis was a distinct species from Pulsatana.
45700	48920	So that's why I kept it here.
48920	56400	And the basis for that is there's a wing fold that is longer in the coastal ones than,
56960	64280	which are sisquioansis, than the other parts of the range.
65000	65740	I've reared it.
65920	69460	It feeds on, what is it?
69460	76600	Arbutus, you know, Virgin's Valor is the common name.
76600	79640	I don't know what Janus it said anymore.
79820	80060	Pardon me.
80060	82660	Wait, is it this?
83120	84440	No, not Madrone.
84740	84960	Oh.
86940	87860	Virgin's Bower?
88020	89020	Trillian Arbya.
90980	91620	Clematis?
92020	92500	What is it?
92580	92760	Yeah.
94080	94920	Clematis, yeah.
97400	104620	Which is, you know, that's that vine that kind of gets up and goes over other trees and shrubs.
104620	113420	So, I think it may be, because the food plant itself is supported by other shrubs,
113820	119880	it may then, if the shrubs get burned out and the fire decline,
120340	126620	it can be confused with those two species of decodes that we discussed earlier.
126620	132500	These are all Ola through time tortrices, but the palpi are very different.
133380	141060	But if you're not, if you don't examine the palpi, or if the palpi are broken off,
141180	143720	you might confuse them for one another.
144120	147800	Palpi often get broken in the killing vial.
147800	151200	So, that's a problem.
153540	154940	Epinodia signiferana.
155200	157180	I think this is one that feeds on willow.
157280	157960	I'm not sure.
157960	170920	And this is one that has, it's kind of controversial as to whether it's a good species or not,
171080	180960	but I'm using the name that Jerry gave me for ones that look like what he calls signiferana.
180960	187960	Ethmia arctistaphylilla.
187960	200300	Ethmias are sometimes put in their own family,
200300	206800	but I think in the checklist, they're included with depressority.
208980	215900	And Ethmia arctistaphylilla is one of these species that's misnamed
215900	218300	because it doesn't feed on arctistaphylis.
219080	220560	It feeds on eriodiction.
220560	231480	And you can find adults flying during the day, well, during the night.
231800	237180	The two species, the two common nocturnal species, which is this and the next one,
237700	241980	are somewhat similar to one another.
241980	249820	Plus, another species, which I have not recorded at Cold Canyon,
249940	255920	but it has been collected at McLaughlin, so it's probably, it could be there,
256060	260760	but I never saw one that I recorded as that other species,
260920	263400	the name of which doesn't come to me.
266040	266520	So,
266520	273480	Disco strigella feeds on circocarpus.
274740	279000	So it's widely distributed because circocarpus is quite widely distributed,
279480	283520	whereas eriodiction is not so widely distributed,
284280	286880	so arctistaphylilla has a narrower distribution.
286880	296540	Arctistaphylilla has seasonal forms,
296980	301520	and one form is very different from Disco strigella,
301660	303900	where the other one is similar to Disco strigella,
304100	306460	so they can be confused with one another,
306700	309300	and they also can be confused with other species.
309720	311980	But I think they're mostly recorded correctly,
311980	315060	but because of the similarity,
315400	319100	I can't say that every one was recorded correctly.
323060	327160	Eublima minima is a very small noctuaid
327160	328940	that feeds on
328940	333760	Pearly Everlasting.
333760	336920	Oh, I have no idea.
340040	340980	I can't think of this.
343140	343580	Anaphylus.
343720	345000	Yeah, Anaphylus.
345300	346760	Oh, oh, yeah, yeah, no,
346800	348400	I want the phone book because it's solid paper.
348860	349560	Yeah, and, you know,
349620	351720	there's another plant that looks like Anaphylus.
352720	354140	They're emergency plants.
354840	355320	Naphthalion.
356460	357260	With a G.
357840	360580	And it may also feed on that,
360640	361040	I don't know.
361040	363180	Yeah, the plants are almost identical,
363500	364080	and, you know,
364140	365200	you have to pull them up
365200	367640	and look at whether they have a tuberous root
367640	370100	or not to tell them apart.
370540	372200	I get this in Davis as well,
372260	373160	but it's a small moth,
373300	376640	and it has a peculiar lobe
376640	378440	on the trailing edge of the wing,
378940	379640	so it's...
379640	383560	So the base of it is wider than,
384440	388220	you know, makes an abrupt narrowing
388220	392180	to the more apical portions of it,
392420	397660	but it's easy to forget
397660	399420	how to identify this,
400140	402320	that hind wing sometimes
402320	404320	is the reminder to...
404320	407080	It reminds me what it is.
407360	409120	It looks like you've seen it more commonly
409120	410380	in recent years.
410920	411520	It could be,
411520	412280	because, you know,
412380	413760	Annapolis is a weedy plant
413760	416680	and probably, you know,
416720	419360	gets choked out by weedy grasses
419360	424840	if there hasn't been a fire in a long time,
424940	429120	and it may succeed quickly after fire,
429260	430240	but, you know,
430280	431620	I don't know enough about
431620	436980	the post-fire ecology
436980	438860	to make these, you know,
439780	442340	if you're going to be focusing
442340	444020	on what happens after fire,
444260	444520	you know,
444600	446200	there's probably somebody here
446200	447340	on campus
447340	449720	who has some good notions
449720	450860	of what's going on.
451680	452260	You know,
452300	453860	we know that certain plants
453860	455420	stump shoot after fire
455420	456400	and another one's...
456400	457800	Herodiction for a while,
457860	458040	you know,
458060	459520	was one of the first things
459520	460980	that came back after the fire.
460980	462140	This is a really good point
462140	464600	that we should look and see.
465560	466940	Let me talk to Andrew Latimer
466940	467960	about that stuff.
468840	470340	Euceracea castella
470340	473980	is a...
474520	475940	Sorry, the euclina,
476220	476900	did you talk about?
477680	478960	Euceracea castella.
479020	479840	Oh, I'm out of order.
480000	480240	Okay.
480460	480580	Yeah.
480980	481240	Okay.
482520	483980	This is a plutelid.
486880	487780	I'm not sure whether
487780	489480	plutelid is recognized
489480	490360	as a family.
490360	490780	You know,
490800	491600	some people treat it
491600	492400	as a good family.
492560	494900	Some people do not.
495520	496080	Or,
496320	497340	you know,
497540	498500	Ipsilophidae.
499040	500400	These are sometimes
500400	501460	combined
501460	502540	and sometimes not.
502940	503360	So...
503360	507360	Castella feeds on...
507360	513700	plants and caperfoliaceae.
513700	514320	It's iffy.
514820	515220	Yeah, yeah.
515300	515520	Okay.
516520	517000	So...
517000	520060	Like honeysuckles and things?
520560	520860	Yeah.
520860	529740	And I have collected it
529740	530440	during the day,
530520	531100	but I don't know
531100	531700	if it's ones
531700	532940	that I've just scared up
532940	535060	or were actually flying
535060	535760	during the day.
536440	536860	It flies,
537520	538640	I think,
538700	539400	one generation
539400	540020	per year
540020	541240	and I'm...
541240	543460	probably native.
544720	546060	Almost certainly native.
546060	547800	There's another species
547800	549520	there that has
549520	550500	the same wing shape
550500	555020	and it's kind of
555020	555780	tannish looking
555780	556600	and then there's one
556600	557300	that's intermediate
557300	558360	and I don't know
558360	560540	whether the intermediate
560540	561440	looking one
561440	563440	is at Cold Canyon
563440	563980	or not,
564100	565580	but if it is,
565660	566480	I would have called it
566480	567260	one or the other
567260	569740	and didn't record it
569740	570680	correctly.
570680	573720	Euclina molisseria
573720	574840	is a large
574840	578160	geometria
578160	578980	and I don't know
578980	579900	very much about
579900	581220	its biology,
581500	581960	but it's easy
581960	582600	to recognize,
582920	584000	so I think
584000	584860	every individual
584860	585840	has been recorded
585840	586600	correctly.
587180	587880	Can we go back
587880	590100	to the Euceraceae?
590880	591480	Euceraceae?
591980	592580	Euceraceae.
592900	594320	What is the species
594320	595540	that looks like it?
597480	598760	I can't recall.
598960	600040	Could you...
600040	600500	Would it be
600500	601180	in the dataset?
601180	601200	Just type in
601200	602060	euceraceae
602060	603260	and see what pops up.
603960	604240	Yeah.
609400	610680	I do have records
610680	611740	for the darker one
611740	613240	that it didn't
613240	613980	make the list.
614320	614980	Yeah, exactly.
616120	619240	But you're saying
619240	621240	basically that...
621240	622120	Castella is...
622120	622860	Is it possible
622860	623660	they're a species
623660	624240	complex?
625640	626120	You said there's
626120	626980	an intermediate block.
626980	628000	No, I doubt
628000	629240	that these are...
629240	630860	that the three
630860	631820	species that are
631820	632900	recognized now
632900	634840	are different forms
634840	635900	of the same species,
636080	636980	but I don't...
636980	638400	But I don't know
638400	639240	that for certain.
640460	640980	Securella?
641980	643180	Yeah, Securella
643180	644260	is the other one,
644340	644940	and then there's
644940	645800	one that
645800	648040	doesn't seem
648040	649160	to be listed there.
649920	650880	Oh, that's my list,
650980	651120	though.
651480	651700	Yeah.
651700	652660	So those are
652660	653400	the two species
653400	654220	that I recorded.
654400	655000	And then the one
655000	655740	that's intermediate,
655920	656620	I think it's called
656620	658120	like Intermediella
658120	658820	or something.
659980	660840	It's a name
660840	661660	that suggests
661660	662500	that it's kind
662500	663940	of in between.
665540	666600	And I think
666600	667320	Powell described
667320	668120	that species,
668280	668860	and the paper
668860	671820	may provide
671820	672640	some insight
672640	673400	as to whether
673400	674700	these are...
675700	676440	whether there's
676440	677300	strong evidence
677300	677640	that they're
677640	678340	separate species
678340	678780	or not.
678780	681480	But I think
681480	682020	they feed on
682020	682780	the same thing
682780	683320	and they're
683320	684240	all fly
684240	685180	at the same time.
687480	688640	But that's
688640	689440	always a problem,
689820	690720	especially if
690720	692240	you're
692240	694320	typological
694320	695540	in what is
695540	696040	and what is
696040	696840	not a species
